,station,latitude,longitude
127,Hikawadai Station,35.7498339,139.6650634
128,Hikifune Station,35.7183056,139.8167501
129,Hinatawada Station,35.7881161,139.2297013
130,Hino Station (Tokyo),35.6610715,139.4147051
131,Hinode Station,35.758719,139.223819
132,Hirai Station (Tokyo),35.706421,139.8425122
133,Hirayamajōshi-kōen Station,35.6475285,139.3801778
134,Hiroo Station,35.6529443,139.722442
135,Hitotsubashi-Gakuen Station,35.7217562,139.4800781
136,Hodokubo Station,35.6552783,139.4108443
137,Hon-komagome Station,35.7247627,139.7537055
138,Hōnanchō Station,35.6834664,139.6576432
139,Hongō-sanchōme Station,35.7066036,139.759935779072
140,Honjo-azumabashi Station,35.7086163,139.8043592
141,Horikiri Station,35.7431862,139.8177041
142,Horikirishōbuen Station,35.7476934,139.8274862
143,Hōya Station,35.74829925,139.56767608401
144,Ichigaya Station,35.69118205,139.735609872636
145,Ichinoe Station,35.6859799,139.8831224
146,Iidabashi Station,35.7010374,139.7475014
147,Ikebukuro Station,35.7307062,139.7085883
148,Ikegami Station,35.57293,139.7036282
149,Ikejiri-Ōhashi Station,35.650655,139.68461
150,Ikenoue Station,35.6605515,139.67304
151,Ikusabata Station,35.8076389,139.2076788
152,Inagi Station,35.638229,139.507776
153,Inagi-Naganuma Station,35.6444578,139.5022394
154,Inarichō Station,35.7113289,139.7826636
155,Inokashira-kōen Station,35.6975223,139.5828122
156,Iogi Station,35.724442,139.6142454
157,Iriya Station (Tokyo),35.7207249,139.7845632
158,Ishigamimae Station,35.7966075,139.2251306
159,Ishikawadai Station,35.5988645,139.681693740012
160,Itabashi Station,35.74555315,139.720064925855
161,Itabashihoncho Station,35.7614026,139.7055582
162,Iwamotocho Station,35.6955634,139.7755631
163,Izumi-Taiikukan Station,35.7184916,139.4197308
164,Izumi-Tamagawa Station,35.6275185,139.5737097
165,Jimbōchō Station,35.6959542,139.7580748
166,Jiyūgaoka Station (Tokyo),35.6083522,139.6670367
167,Jūjō Station (Tokyo),35.7600092,139.7222807
168,Kabe Station (Tokyo),35.7843349,139.2849278
169,Kachidoki Station,35.6593214,139.7777629
170,Kagurazaka Station,35.7040996,139.7434925
171,Kajiwara Station,35.7510746,139.7480601
172,Kamata Station (Tokyo),35.5632556,139.715321
173,Kameari Station,35.7662467,139.8482807
174,Kameido Station,35.6979804,139.8257904
175,Kameidosuijin Station,35.7000503,139.8335195
176,Kami-Igusa Station,35.7252401,139.6031457
177,Kami-Itabashi Station,35.7635967,139.676569
178,Kami-kitazawa Station,35.6688199,139.623299
179,Kami-Nakazato Station,35.7466176,139.7470253
180,Kaminoge Station,35.6118685,139.6382487
181,Kami-Shakujii Station,35.7261132,139.5924974
182,Kamikitadai Station,35.7458297,139.4158199
183,Kamiyachō Station,35.6624802,139.7447379
184,Kanamachi Station,35.7695843,139.8706926
185,Kanamechō Station,35.733157,139.6986289
