,station,latitude,longitude
560,Tochōmae Station,35.6903852,139.6914735
561,Tōdaimae Station,35.7173022,139.7581184
562,Toden-zoshigaya Station,35.7240463,139.7177301
563,Todoroki Station (Tokyo),35.6091032,139.647398
564,Togoshi Station,35.6150626,139.7166188
565,Togoshi-Ginza Station,35.6160725,139.7150199
566,Togoshi-kōen Station,35.608913,139.7181941
567,Tokiwadai Station (Tokyo),35.7589509,139.6885556
568,Tokyo Freight Terminal,35.5896662,139.7594679
569,Tokyo Skytree Station,35.71005425,139.810714099926
570,Tokyo Station,54.2175325,18.652509
571,Tokyo Teleport Station,35.6276427,139.7787817
572,Toneri Station,40.0224914,9.1739504
573,Toneri-kōen Station,35.7963752,139.7700819
574,Toranomon Hills Station,35.6668644,139.74915867314
575,Toranomon Station,35.67017,139.750049
576,Toritsu-Daigaku Station,35.6175561,139.6761727
577,Toritsu-Kasei Station,35.7222575,139.6452465
578,Toshimaen Station,35.7421151,139.6479663
579,Tōyōchō Station,35.670618,139.8164944
580,Toyoda Station,35.6608886,139.3805623
581,Toyosu Station,35.6554042,139.7963392
582,Tsukiji Station,35.6681142,139.7725632
583,Tsukijishijō Station,35.6648891,139.7669096
584,Tsukishima Station,35.662619,139.7824055
585,Tsukushino Station,35.5281945,139.4845446
586,Tsurukawa Station,35.5831769,139.4820835
587,Tsutsujigaoka Station (Tokyo),35.6580925,139.5753341
588,Uchisaiwaicho Station,35.6691961,139.7553036
589,Ueno Station,35.7118717,139.7774252
590,Ueno-hirokoji Station,35.7078264,139.7730499
591,Ueno-okachimachi Station,35.7076875,139.7728646
592,Uguisudani Station,35.7203576,139.7790442
593,Ukima-Funado Station,35.7911622,139.691494
594,Umegaoka Station,35.656241,139.654343
595,Umejima Station,35.7723229,139.7980187
596,Umeyashiki Station (Tokyo),35.5669464,139.728341688538
597,Unoki Station,35.5754772,139.6805847
598,Ushida Station (Tokyo),35.7446769,139.8121178
599,Ushigome-kagurazaka Station,35.7009139,139.7359501
600,Ushigome-yanagichō Station,35.6994676,139.7255875
601,Ushihama Station,35.7345743,139.3335747
602,Wakabayashi Station (Tokyo),35.6459636,139.6599785
603,Wakamatsu-kawada Station,35.699262,139.7184292
604,Wakōshi Station,35.7886582,139.6124496
605,Yagawa Station,35.6849629,139.4321775
606,Yahiro Station,35.7271367,139.8283287
607,Yaho Station,11.82415245,-3.50109371686163
608,Yamada Station (Tokyo),35.6443652,139.3210906
609,Yamashita Station (Tokyo),35.6538302,139.646493
610,Yanokuchi Station,35.6415979,139.5205143
611,Yasaka Station (Tokyo),35.7451375,139.4673298
612,Yazaike Station,35.7864626,139.7687155
613,Yōga Station,55.0400295,-1.442969
614,Yotsugi Station,35.73252,139.8343198
615,Yotsuya Station,48.1133669,-1.6799393
616,Yotsuya-sanchōme Station,35.6879869,139.7205698
617,Yoyogi Station,35.6839071,139.7016342
618,Yoyogi-Hachiman Station,35.6696211,139.6888398
619,Yoyogi-koen Station,35.67053295,139.695671284789
620,Yoyogi-Uehara Station,35.669008,139.679787
621,Yukigaya-Ōtsuka Station,35.5920174,139.6809829
622,Yūrakuchō Station,35.6755911,139.7633051
623,Yushima Station (Tokyo),35.7080344,139.7698061
624,Yūtenji Station,35.6375748,139.6910422
625,Zoshigaya Station,35.7202599,139.7148462
626,Zōshiki Station,35.550055,139.715197
